Unnamed: 0,customer_id,review_id,product_id,product_parent,product_title,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,content_score,keyword
0,21879631,RY52KZABZK8QF,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,1,0,0,N,Y,Do not recommend it. go use your money for something more ...,3 of the buttons stopped working after a month of using it. It was used twice a day. Do not recommend it. go use your money for something more durable. Oh and also big plates do not fit in it.,8/31/2015,0.2349278628826141,"['buttons', 'stopped', 'working', 'month', 'using', 'used', 'twice', 'day', 'recommend', 'go', 'use', 'money', 'something', 'durable', 'Oh', 'also', 'big', 'plates', 'fit']"
1,14964566,R3GCOEV4HYZG2I,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Looks as good as the picture,Didn't use it long so I can't attest to that but for the price it is extremely good looking and feels like a quality build. Just know it's small - you will not be nuking turkeys in this - and it's not super high wattage so it may take a bit longer. So if you must have your canned soup in 2-1/2 minutes and not 3 then this won't work.,8/31/2015,0.12152862548828125,"['use', 'long', 'ca', 'attest', 'price', 'extremely', 'good', 'looking', 'feels', 'like', 'quality', 'build', 'know', 'small', 'nuking', 'turkeys', 'super', 'high', 'wattage', 'may', 'take', 'bit', 'longer', 'must', 'canned', 'soup', 'minutes', 'wo', 'work']"
2,13230389,R1V2OPPNL0QGCE,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,4,0,0,N,Y,Four Stars,"Very nice microwave, great price",8/31/2015,0.9981706738471984,"['nice', 'microwave', 'great', 'price']"
3,43655888,R9Q0QDTLKV567,B004ZU09QQ,423421857,danby 0.7 cu.ft. countertop microwave,3,0,1,N,Y,quiet,"Quiet, but does not seem like 1000 watt power.",8/31/2015,0.5,"['Quiet', 'seem', 'like', 'watt', 'power']"
4,117794,R3DL7HYC3QTWNI,B005GSZB7I,827502283,"whirlpool stainless look countertop microwave, 0.5 cu. feet, wmc20005yd",4,0,0,N,Y,Four Stars,It's bigger than I thought.,8/31/2015,0.5,"['bigger', 'thought']"
5,16018452,R3M88678ZYC6WI,B004ZU09QQ,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Great Microwave,Really love this microwave. Has the one touch settings that I wanted along with the +30 seconds button.  Its a great size for a countertop.  It can be a little noisy when it beeps as others have said.,8/31/2015,0.8707226514816284,"['Really', 'love', 'microwave', 'one', 'touch', 'settings', 'wanted', 'along', 'seconds', 'button', 'great', 'size', 'countertop', 'little', 'noisy', 'beeps', 'others', 'said']"
6,50761053,R2G20T7N6L3HO1,B001QFYDSI,295520151,sharp microwave drawer oven,1,0,0,N,N,Stopped working after 2 years,We bought this microwave 2 years ago as part of a home remodel. It was great while it worked but recently stopped working. Sharp warranty is only 1 year. For the amount of money we spent on this I would expect it to last more than 2 years.,8/30/2015,0.2223191857337952,"['bought', 'microwave', 'years', 'ago', 'part', 'home', 'remodel', 'great', 'worked', 'recently', 'stopped', 'working', 'Sharp', 'warranty', 'year', 'amount', 'money', 'spent', 'would', 'expect', 'last', 'years']"
7,21924164,R29F0E6EJJCEEM,B004ZUWBVW,423421857,danby 0.7 cu.ft. countertop microwave,4,0,0,N,Y,Was pleased with the packaging and easy instructions to set it ...,Was pleased with the packaging and easy instructions to set it up. Worth $55 and that it was 'Prime&#34; order.,8/29/2015,0.9761017560958862,"['pleased', 'packaging', 'easy', 'instructions', 'set', 'Worth', 'order']"
8,18672427,R1WU4A3QFKJ0HT,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Great Value for the Money.,Neat little unit. I have no complaints.,8/29/2015,0.8818076848983765,"['Neat', 'little', 'unit', 'complaints']"
9,3159360,R2Q061UH1EJHIJ,B007V7G5TU,423421857,danby 0.7 cu.ft. countertop microwave,2,1,1,N,Y,It had great reviews when we ordered it,"The finish is nice and matches our stainless steel/black wall oven nicely. However, the button to open the door no longer opens on the first try or needs some help. And occasionally something internal to the microwave makes a noise when the tray is rotating.",8/28/2015,0.8297920227050781,"['finish', 'nice', 'matches', 'stainless', 'wall', 'oven', 'nicely', 'However', 'button', 'open', 'door', 'longer', 'opens', 'first', 'try', 'needs', 'help', 'occasionally', 'something', 'internal', 'microwave', 'makes', 'noise', 'tray', 'rotating']"
